region,modelo,residuo
Vía aérea,ARIMA/SARIMA seleccionado,0.20539384859148235
Vía aérea,ARIMA/SARIMA seleccionado,-0.12278670688636417
Vía aérea,ARIMA/SARIMA seleccionado,-0.07034696493174941
Vía aérea,ARIMA/SARIMA seleccionado,0.3126336227932054
Vía aérea,ARIMA/SARIMA seleccionado,-0.2542719396233988
Vía aérea,ARIMA/SARIMA seleccionado,0.17080062287343445
Vía aérea,ARIMA/SARIMA seleccionado,0.16124569741812422
Vía aérea,ARIMA/SARIMA seleccionado,0.17547494305999578
Vía aérea,ARIMA/SARIMA seleccionado,-0.19284093873008956
Vía aérea,ARIMA/SARIMA seleccionado,-0.10897205053757553
Vía aérea,ARIMA/SARIMA seleccionado,0.28322450860616755
Vía aérea,ARIMA/SARIMA seleccionado,0.07111665831693692
Vía aérea,ARIMA/SARIMA seleccionado,0.059178848418918406
Vía aérea,ARIMA/SARIMA seleccionado,-0.05632914850759008
Vía aérea,ARIMA/SARIMA seleccionado,0.025174417354083545
Vía aérea,ARIMA/SARIMA seleccionado,0.15638569985008743
Vía aérea,ARIMA/SARIMA seleccionado,0.06091427399337945
Vía aérea,ARIMA/SARIMA seleccionado,-0.14553434292121636
Vía aérea,ARIMA/SARIMA seleccionado,0.318709518622061
Vía aérea,ARIMA/SARIMA seleccionado,0.15595984295940823
Vía aérea,ARIMA/SARIMA seleccionado,-0.21809314576132977
Vía aérea,ARIMA/SARIMA seleccionado,0.023825538313507977
Vía aérea,ARIMA/SARIMA seleccionado,0.2126378336288255
Vía aérea,ARIMA/SARIMA seleccionado,0.12053559035759243
Vía aérea,ARIMA/SARIMA seleccionado,0.22565644104947857
Vía aérea,ARIMA/SARIMA seleccionado,-0.13178784374560415
Vía aérea,ARIMA/SARIMA seleccionado,-0.06926732471919017
Vía aérea,ARIMA/SARIMA seleccionado,0.32515243172935904
Vía aérea,ARIMA/SARIMA seleccionado,-0.1614810178585646
Vía aérea,ARIMA/SARIMA seleccionado,0.10383958078470634
Vía aérea,ARIMA/SARIMA seleccionado,0.18623642687214925
Vía aérea,ARIMA/SARIMA seleccionado,0.15328881711820586
Vía aérea,ARIMA/SARIMA seleccionado,-0.12506883730107354
Vía aérea,ARIMA/SARIMA seleccionado,-0.03778609394844956
Vía aérea,ARIMA/SARIMA seleccionado,0.2502678379147163
Vía aérea,ARIMA/SARIMA seleccionado,0.17687476554616843
Vía aérea,ARIMA/SARIMA seleccionado,0.2133724925348357
Vía aérea,ARIMA/SARIMA seleccionado,-0.12621539011867355
Vía aérea,ARIMA/SARIMA seleccionado,-0.029549401847310364
Vía aérea,ARIMA/SARIMA seleccionado,0.18888305283560136
Vía aérea,ARIMA/SARIMA seleccionado,0.0906626798887995
Vía aérea,ARIMA/SARIMA seleccionado,-0.057337820376751836
Vía aérea,ARIMA/SARIMA seleccionado,0.24587473372515234
Vía aérea,ARIMA/SARIMA seleccionado,0.11824327381652999
Vía aérea,ARIMA/SARIMA seleccionado,-0.09636036158223504
Vía aérea,ARIMA/SARIMA seleccionado,-0.013449771351350392
Vía aérea,ARIMA/SARIMA seleccionado,0.22711460355913715
Vía aérea,ARIMA/SARIMA seleccionado,0.1678476741481969
Vía aérea,ARIMA/SARIMA seleccionado,0.2139990155157303
Vía aérea,ARIMA/SARIMA seleccionado,-0.10054422097850058
Vía aérea,ARIMA/SARIMA seleccionado,-0.0050910615006038995
