fecha,Total mensual,Vía aérea
2020-04-01,10039.0,489.0
2020-05-01,9779.0,610.0
2020-06-01,11817.0,1418.0
2020-07-01,13484.0,1047.0
2020-08-01,15357.0,1259.0
2020-09-01,25389.528915275994,5606.0
2020-10-01,30538.524452566482,9474.702618453864
2020-11-01,58632.0,38994.0
2020-12-01,59432.0,53717.0
2021-01-01,104620.0,43648.0
2021-02-01,65463.0,28784.0
2021-03-01,105145.0549412881,60160.41466618583
2021-04-01,82067.86966045789,34541.691431401676
2021-05-01,79974.0,59518.0
2021-06-01,106436.0,75987.0
2021-07-01,108345.66433359256,71180.0
2021-08-01,83251.0,55680.0
2021-09-01,74913.99999999996,46047.99999999996
2021-10-01,93745.0,53420.0
2021-11-01,116908.17755114578,72673.0
2021-12-01,246898.0,122254.0
2022-01-01,151709.0,97752.0
2022-02-01,232198.4,84575.0
2022-03-01,296130.0,106141.0
2022-04-01,386778.0,124782.0
2022-05-01,356400.0,111839.0
2022-06-01,360283.0,125316.0
2022-07-01,397773.0,131458.0
2022-08-01,399193.0,108896.0
2022-09-01,348618.0,103209.0
2022-10-01,407715.0,122939.0
2022-11-01,453177.0,131410.0
2022-12-01,526190.0,158463.0
2023-01-01,291513.0,76401.0
2023-02-01,221331.00000000003,75406.0
2023-03-01,279789.9999999997,92733.0
2023-04-01,306654.0000000003,79354.0
2023-05-01,239253.00000000006,71802.0
2023-06-01,253270.0000000001,87780.0
2023-07-01,275152.9999999998,99032.0
2023-08-01,292862.00000000006,79152.0
2023-09-01,247668.99999999985,67306.0
2023-10-01,191304.0,59326.0
2023-11-01,284085.0,89140.0
2023-12-01,365824.9999999998,108408.0
2024-01-01,333491.0,96039.0
2024-02-01,294529.9999999999,98871.0
2024-03-01,349965.0000000001,108491.0
2024-04-01,265183.0000000001,87857.0
2024-05-01,265989.00000000006,87997.0
2024-06-01,262613.00000000006,104464.0
2024-07-01,295477.0000000001,110379.0
2024-08-01,312497.0000000001,88635.0
2024-09-01,239821.99999999994,69269.0
2024-10-01,271571.0000000002,81187.0
2024-11-01,318822.00000000006,97137.0
2024-12-01,383915.9999999999,113027.0
2025-01-01,306595.9999999999,101124.0
2025-02-01,268365.00000000006,92703.0
2025-03-01,299908.99999999994,107244.0
2025-04-01,321074.0000000001,93466.0
2025-05-01,270314.9999999998,87753.0
2025-06-01,273825.99999999994,99411.0
2025-07-01,307291.00000000006,117361.0
2025-08-01,315572.0000000001,90643.0
2025-09-01,236472.99999999994,70416.0
2025-10-01,277299.0000000001,90000.0
2025-11-01,328430.9999999998,111567.0
2025-12-01,392086.99999999965,127283.0
2026-01-01,319106.0000000001,113435.0
2026-02-01,254047.99999999997,106821.0
2026-03-01,311226.0000000002,127540.0
2026-04-01,278198.99999999994,102029.0
2026-05-01,260665.99999999977,95804.0
2026-06-01,259391.00000000003,98211.0
