fecha,region,real,ARIMA/SARIMA seleccionado,Seasonal naïve,Suavizamiento exponencial simple,Holt-Winters,Prophet
2023-01-01,Total mensual,291513.0,251174.86542820977,104620.0,98504.55781603113,110906.77139854839,0.0
2023-02-01,Total mensual,221331.00000000003,193562.87593646528,65463.0,98504.55781603113,58914.09911742766,0.0
2023-03-01,Total mensual,279789.9999999997,232203.7358686792,105145.0549412881,98504.55781603113,105456.19119438404,0.0
2023-04-01,Total mensual,306654.0000000003,195638.57593082375,10039.0,98504.55781603113,98367.52537928263,0.0
2023-05-01,Total mensual,239253.00000000006,161255.82347029928,9779.0,98504.55781603113,57092.97520288053,0.0
2023-06-01,Total mensual,253270.0000000001,176892.1756997422,11817.0,98504.55781603113,76607.15508669858,0.0
2023-07-01,Total mensual,275152.9999999998,197844.50403818017,13484.0,98504.55781603113,99085.51002702216,0.0
2023-08-01,Total mensual,292862.00000000006,202939.55104208444,15357.0,98504.55781603113,105219.99921819054,0.0
2023-09-01,Total mensual,247668.99999999985,162314.83330536922,25389.528915275994,98504.55781603113,41618.24183626962,0.0
2023-10-01,Total mensual,191304.0,186393.80761032813,30538.524452566482,98504.55781603113,70528.31704223008,0.0
2023-11-01,Total mensual,284085.0,226776.30071620733,58632.0,98504.55781603113,98223.52507892958,0.0
2023-12-01,Total mensual,365824.9999999998,284819.8017710169,59432.0,98504.55781603113,160768.1490995639,0.0
2024-01-01,Total mensual,333491.0,251174.86542820977,104620.0,98504.55781603113,110953.83079279728,0.0
2024-02-01,Total mensual,294529.9999999999,193562.87593646528,65463.0,98504.55781603113,58960.327039596596,0.0
2024-03-01,Total mensual,349965.0000000001,232203.7358686792,105145.0549412881,98504.55781603113,105501.60233539355,0.0
2024-04-01,Total mensual,265183.0000000001,195638.57593082375,10039.0,98504.55781603113,98412.13417048567,0.0
2024-05-01,Total mensual,265989.00000000006,161255.82347029928,9779.0,98504.55781603113,57136.79582064876,0.0
2024-06-01,Total mensual,262613.00000000006,176892.1756997422,11817.0,98504.55781603113,76650.20145692748,0.0
2024-07-01,Total mensual,295477.0000000001,197844.50403818017,13484.0,98504.55781603113,99127.79582955656,0.0
2024-08-01,Total mensual,312497.0000000001,202939.55104208444,15357.0,98504.55781603113,105261.53789117203,0.0
2024-09-01,Total mensual,239821.99999999994,162314.83330536922,25389.528915275994,98504.55781603113,41659.046580407085,0.0
2024-10-01,Total mensual,271571.0000000002,186393.80761032813,30538.524452566482,98504.55781603113,70568.40082499477,0.0
2024-11-01,Total mensual,318822.00000000006,226776.30071620733,58632.0,98504.55781603113,98262.90063867613,0.0
2024-12-01,Total mensual,383915.9999999999,284819.8017710169,59432.0,98504.55781603113,160806.8289495784,0.0
2025-01-01,Total mensual,306595.9999999999,251174.86542820977,104620.0,98504.55781603113,110991.8272252741,0.0
2025-02-01,Total mensual,268365.00000000006,193562.87593646528,65463.0,98504.55781603113,58997.65212954457,0.0
2025-03-01,Total mensual,299908.99999999994,232203.7358686792,105145.0549412881,98504.55781603113,105538.26794447338,0.0
2025-04-01,Total mensual,321074.0000000001,195638.57593082375,10039.0,98504.55781603113,98448.15195077956,0.0
2025-05-01,Total mensual,270314.9999999998,161255.82347029928,9779.0,98504.55781603113,57172.17721836328,0.0
2025-06-01,Total mensual,273825.99999999994,176892.1756997422,11817.0,98504.55781603113,76684.95771603112,0.0
2025-07-01,Total mensual,307291.00000000006,197844.50403818017,13484.0,98504.55781603113,99161.93799535303,0.0
2025-08-01,Total mensual,315572.0000000001,202939.55104208444,15357.0,98504.55781603113,105295.07681381033,0.0
2025-09-01,Total mensual,236472.99999999994,162314.83330536922,25389.528915275994,98504.55781603113,41691.99291832962,0.0
2025-10-01,Total mensual,277299.0000000001,186393.80761032813,30538.524452566482,98504.55781603113,70600.76504832454,0.0
2025-11-01,Total mensual,328430.9999999998,226776.30071620733,58632.0,98504.55781603113,98294.69303254406,0.0
2025-12-01,Total mensual,392086.99999999965,284819.8017710169,59432.0,98504.55781603113,160838.0596173919,0.0
2026-01-01,Total mensual,319106.0000000001,251174.86542820977,104620.0,98504.55781603113,111022.50609192782,0.0
2026-02-01,Total mensual,254047.99999999997,193562.87593646528,65463.0,98504.55781603113,59027.78894457451,0.0
2026-03-01,Total mensual,311226.0000000002,232203.7358686792,105145.0549412881,98504.55781603113,105567.87228515519,0.0
2026-04-01,Total mensual,278198.99999999994,195638.57593082375,10039.0,98504.55781603113,98477.23322517217,0.0
2026-05-01,Total mensual,260665.99999999977,161255.82347029928,9779.0,98504.55781603113,57200.74466829867,0.0
2026-06-01,Total mensual,259391.00000000003,176892.1756997422,11817.0,98504.55781603113,76713.02042005137,0.0
2021-04-01,Vía aérea,34541.691431401676,76578.21471351918,489.0,60160.41419864082,50502.34251699608,41182.036689678884
2021-05-01,Vía aérea,59518.0,76273.3120835263,610.0,60160.41419864082,44707.25717093413,36396.71640574341
2021-06-01,Vía aérea,75987.0,76030.99084617237,1418.0,60160.41419864082,61553.228539748765,42428.32712950467
2021-07-01,Vía aérea,71180.0,75838.26631034154,1047.0,60160.41419864082,71913.10116498095,44488.830786826504
2021-08-01,Vía aérea,55680.0,75684.89859224617,1259.0,60160.41419864082,52280.639996664344,34231.03520770959
2021-09-01,Vía aérea,46047.99999999996,75562.7941593243,5606.0,60160.41419864082,40581.791515245495,27980.873548739986
2021-10-01,Vía aérea,53420.0,75465.54433055187,9474.702618453864,60160.41419864082,52135.89506843963,31277.656102008576
2021-11-01,Vía aérea,72673.0,75388.06714673623,38994.0,60160.41419864082,64334.02737554522,33925.91573217617
2021-12-01,Vía aérea,122254.0,75326.32800979332,53717.0,60160.41419864082,80494.47819270229,36792.080999350976
2022-01-01,Vía aérea,97752.0,75277.12083453947,43648.0,60160.41419864082,60244.32274236165,28332.908734806853
2022-02-01,Vía aérea,84575.0,75237.896006935,28784.0,60160.41419864082,48039.203428633016,22404.61504923761
2022-03-01,Vía aérea,106141.0,75206.624754251,60160.41466618583,60160.41419864082,62083.01401623616,23780.82042458394
2022-04-01,Vía aérea,124782.0,75181.69197500632,489.0,60160.41419864082,52040.42220254959,19115.384627996285
2022-05-01,Vía aérea,111839.0,75161.81139969052,610.0,60160.41419864082,45937.72091937694,15799.023846083524
2022-06-01,Vía aérea,125316.0,75145.95832884716,1418.0,60160.41419864082,62537.59953850301,17141.57532073555
2022-07-01,Vía aérea,131458.0,75133.31624266504,1047.0,60160.41419864082,72700.59796398434,16609.652540972882
2022-08-01,Vía aérea,108896.0,75123.23438044642,1259.0,60160.41419864082,52910.63743586706,11510.879142500684
2022-09-01,Vía aérea,103209.0,75115.19400994712,5606.0,60160.41419864082,41085.789466607675,8240.594914052119
2022-10-01,Vía aérea,122939.0,75108.78158984652,9474.702618453864,60160.41419864082,52539.09342952938,7976.842059692139
2022-11-01,Vía aérea,131410.0,75103.66740609295,38994.0,60160.41419864082,64656.58606441702,6936.581887098095
2022-12-01,Vía aérea,158463.0,75099.58855891136,53717.0,60160.41419864082,80752.52514379972,5562.469049813623
2023-01-01,Vía aérea,76401.0,75096.33541017582,43648.0,60160.41419864082,60450.76030323959,2352.3976392752484
2023-02-01,Vía aérea,75406.0,75093.74078459099,28784.0,60160.41419864082,48204.35347733537,118.45836583638265
2023-03-01,Vía aérea,92733.0,75091.67136338618,60160.41466618583,60160.41419864082,62215.13405519804,0.0
2023-04-01,Vía aérea,79354.0,75090.02082426238,489.0,60160.41419864082,52146.1182337191,0.0
2023-05-01,Vía aérea,71802.0,75088.70437256561,610.0,60160.41419864082,46022.27774431254,0.0
2023-06-01,Vía aérea,87780.0,75087.65438109639,1418.0,60160.41419864082,62605.2449984515,0.0
2023-07-01,Vía aérea,99032.0,75086.8169135279,1047.0,60160.41419864082,72754.71433194313,0.0
2023-08-01,Vía aérea,79152.0,75086.1489521844,1259.0,60160.41419864082,52953.93053023409,0.0
2023-09-01,Vía aérea,67306.0,75085.61618736068,5606.0,60160.41419864082,41120.423942101304,0.0
2023-10-01,Vía aérea,59326.0,75085.19125436191,9474.702618453864,60160.41419864082,52566.801009924275,0.0
2023-11-01,Vía aérea,89140.0,75084.85232754376,38994.0,60160.41419864082,64678.752128732944,0.0
2023-12-01,Vía aérea,108408.0,75084.58199902918,53717.0,60160.41419864082,80770.25799525245,0.0
2024-01-01,Vía aérea,96039.0,75084.36638444262,43648.0,60160.41419864082,60464.94658440178,0.0
2024-02-01,Vía aérea,98871.0,75084.1944096865,28784.0,60160.41419864082,48215.70250226512,0.0
2024-03-01,Vía aérea,108491.0,75084.05724210113,60160.41466618583,60160.41419864082,62224.21327514184,0.0
