region,modelo,residuo
Vía aérea,ARIMA/SARIMA seleccionado,0.3187095207110442
Vía aérea,ARIMA/SARIMA seleccionado,0.1559598397879043
Vía aérea,ARIMA/SARIMA seleccionado,-0.2180931450752297
Vía aérea,ARIMA/SARIMA seleccionado,0.023825541522985105
Vía aérea,ARIMA/SARIMA seleccionado,0.21263783301438366
Vía aérea,ARIMA/SARIMA seleccionado,0.12053558910123563
Vía aérea,ARIMA/SARIMA seleccionado,0.22565644133314322
Vía aérea,ARIMA/SARIMA seleccionado,-0.13178784472478355
Vía aérea,ARIMA/SARIMA seleccionado,-0.06926732164050087
Vía aérea,ARIMA/SARIMA seleccionado,0.3251524323882524
Vía aérea,ARIMA/SARIMA seleccionado,-0.16148102047226764
Vía aérea,ARIMA/SARIMA seleccionado,0.10383958439921415
Vía aérea,ARIMA/SARIMA seleccionado,0.1862364255356841
Vía aérea,ARIMA/SARIMA seleccionado,0.1532888166401527
Vía aérea,ARIMA/SARIMA seleccionado,-0.12506883735743735
Vía aérea,ARIMA/SARIMA seleccionado,-0.03778609137118849
Vía aérea,ARIMA/SARIMA seleccionado,0.2502678383124639
Vía aérea,ARIMA/SARIMA seleccionado,0.17687476368878485
Vía aérea,ARIMA/SARIMA seleccionado,0.2133724926117626
Vía aérea,ARIMA/SARIMA seleccionado,-0.12621539066025989
Vía aérea,ARIMA/SARIMA seleccionado,-0.02954939876993734
Vía aérea,ARIMA/SARIMA seleccionado,0.1888830532872099
Vía aérea,ARIMA/SARIMA seleccionado,0.09066267882100831
Vía aérea,ARIMA/SARIMA seleccionado,-0.057337819716208216
Vía aérea,ARIMA/SARIMA seleccionado,0.24587473527516046
Vía aérea,ARIMA/SARIMA seleccionado,0.11824327194163153
Vía aérea,ARIMA/SARIMA seleccionado,-0.09636036075351306
Vía aérea,ARIMA/SARIMA seleccionado,-0.013449769266662415
Vía aérea,ARIMA/SARIMA seleccionado,0.22711460397913008
Vía aérea,ARIMA/SARIMA seleccionado,0.1678476726460918
Vía aérea,ARIMA/SARIMA seleccionado,0.21399901562686097
Vía aérea,ARIMA/SARIMA seleccionado,-0.10054422151729803
Vía aérea,ARIMA/SARIMA seleccionado,-0.005091058643058588
Vía aérea,ARIMA/SARIMA seleccionado,-0.6381021777759486
Vía aérea,ARIMA/SARIMA seleccionado,-4.595747935865409
Vía aérea,ARIMA/SARIMA seleccionado,0.5382332166383499
Vía aérea,ARIMA/SARIMA seleccionado,-0.28763328639235564
Vía aérea,ARIMA/SARIMA seleccionado,-1.0226922555745626
Vía aérea,ARIMA/SARIMA seleccionado,-0.383052768205693
Vía aérea,ARIMA/SARIMA seleccionado,0.7769663767376551
Vía aérea,ARIMA/SARIMA seleccionado,-0.22628433647418156
Vía aérea,ARIMA/SARIMA seleccionado,1.0615488120327363
Vía aérea,ARIMA/SARIMA seleccionado,-0.12088398231655084
Vía aérea,ARIMA/SARIMA seleccionado,-0.24020205706423958
Vía aérea,ARIMA/SARIMA seleccionado,-0.4562851279297728
Vía aérea,ARIMA/SARIMA seleccionado,0.6757706993473196
