fecha,Vía terrestre,Vía marítima
2019-09-01,223844.47677064058,1294.0
2019-10-01,197089.58166068167,17004.0
2019-11-01,243942.8788819876,23599.0
2019-12-01,348626.4459517657,9352.0
2020-01-01,316015.17248564336,19028.0
2020-02-01,259956.6257059583,16419.0
2020-03-01,115494.29790835253,6545.0
2020-04-01,9550.0,0.0
2020-05-01,9169.0,0.0
2020-06-01,10399.0,0.0
2020-07-01,12437.0,0.0
2020-08-01,14098.0,0.0
2020-09-01,19783.528915275994,0.0
2020-10-01,21063.82183411262,0.0
2020-11-01,19638.0,0.0
2020-12-01,5715.0,0.0
2021-01-01,60972.0,0.0
2021-02-01,36679.0,0.0
2021-03-01,44984.64027510227,0.0
2021-04-01,47526.178229056204,0.0
2021-05-01,20456.0,0.0
2021-06-01,30449.0,0.0
2021-07-01,37165.66433359256,0.0
2021-08-01,27571.0,0.0
2021-09-01,28866.0,0.0
2021-10-01,40325.0,0.0
2021-11-01,42922.17755114579,1313.0
2021-12-01,122049.0,2595.0
2022-01-01,53281.0,676.0
2022-02-01,147175.4,448.0
2022-03-01,189137.0,852.0
2022-04-01,258094.0,3902.0
2022-05-01,243664.0,897.0
2022-06-01,234967.0,0.0
2022-07-01,266315.0,0.0
2022-08-01,290297.0,0.0
2022-09-01,245409.0,0.0
2022-10-01,281801.0,2975.0
2022-11-01,315529.0,6238.0
2022-12-01,357685.0,10042.0
2023-01-01,214429.99999999997,682.0
2023-02-01,145396.00000000003,529.0
2023-03-01,186351.99999999968,705.0
2023-04-01,226626.0000000003,674.0
2023-05-01,166906.00000000006,545.0
2023-06-01,164892.0000000001,598.0
2023-07-01,175496.99999999983,624.0
2023-08-01,213118.0000000001,592.0
2023-09-01,180016.99999999985,346.0
2023-10-01,131699.0,279.0
2023-11-01,194406.99999999997,538.0
2023-12-01,256911.99999999985,505.0
2024-01-01,236880.00000000003,572.0
2024-02-01,195023.9999999999,635.0
2024-03-01,240757.00000000015,717.0
2024-04-01,176774.0000000001,552.0
2024-05-01,177469.00000000003,523.0
2024-06-01,157594.00000000006,555.0
2024-07-01,184561.00000000015,537.0
2024-08-01,223302.00000000012,560.0
2024-09-01,170231.99999999994,321.0
2024-10-01,189998.0000000002,386.0
2024-11-01,221084.00000000006,601.0
2024-12-01,270242.9999999999,646.0
2025-01-01,204868.9999999999,603.0
2025-02-01,175050.00000000006,612.0
2025-03-01,192069.99999999994,595.0
2025-04-01,226671.00000000015,937.0
2025-05-01,181985.9999999998,576.0
2025-06-01,173922.99999999994,492.0
2025-07-01,189324.0000000001,606.0
2025-08-01,224363.00000000012,566.0
2025-09-01,165690.99999999994,366.0
2025-10-01,186906.00000000012,393.0
2025-11-01,216329.99999999985,534.0
2025-12-01,264139.99999999965,664.0
2026-01-01,205027.0000000001,644.0
2026-02-01,146468.99999999997,758.0
2026-03-01,183014.00000000017,672.0
2026-04-01,175449.99999999997,720.0
2026-05-01,164258.99999999977,603.0
2026-06-01,160604.00000000003,576.0
