fecha,total_reportado,turista_mas_excursionista
2022-06-01,360283.0,269366.0
2022-07-01,397773.0,306246.0
2022-08-01,399193.0,297602.0
2022-09-01,348618.0,246464.0
2022-10-01,407715.0,281938.0
2022-11-01,453177.0,318693.0
2022-12-01,526190.0,400266.0
2023-01-01,291513.0,258166.18821264658
2023-02-01,221331.00000000003,198751.85766927942
2023-03-01,279789.9999999997,251839.50267324003
2023-04-01,306654.0000000003,283179.2556557847
2023-05-01,239253.00000000006,213191.03891840694
2023-06-01,253270.0000000001,224580.17382775573
2023-07-01,275152.9999999998,257626.95044792976
2023-08-01,292862.00000000006,264514.08794636687
2023-09-01,247668.99999999985,218486.4781049799
2023-10-01,191304.0,164499.38846570507
2023-11-01,284085.0,255894.27623440052
2023-12-01,365824.9999999998,327097.61316611955
2024-01-01,333491.0,292731.86680673156
2024-02-01,294529.9999999999,265990.67321318097
2024-03-01,349965.0000000001,322310.39400228957
2024-04-01,265183.0000000001,240988.81729405138
2024-05-01,265989.00000000006,238807.9548151027
2024-06-01,262613.00000000006,234781.22686199367
2024-07-01,295477.0000000001,266974.95506929053
2024-08-01,312497.0000000001,282101.83101094456
2024-09-01,239821.99999999994,215658.8098341591
2024-10-01,271571.0000000002,249665.70083733913
2024-11-01,318822.00000000006,302674.076910829
2024-12-01,383915.9999999999,361749.6884796847
2025-01-01,306595.9999999999,289543.5982553855
2025-02-01,268365.00000000006,254428.88643334268
2025-03-01,299908.99999999994,278538.25098417036
2025-04-01,321074.0000000001,300287.6910735994
2025-05-01,270314.9999999998,247981.9259720942
2025-06-01,273825.99999999994,254190.0961535216
2025-07-01,307291.00000000006,283388.6987866118
2025-08-01,315572.0000000001,293780.5243930469
2025-09-01,236472.99999999994,218069.51122057904
2025-10-01,277299.0000000001,255920.93232213068
2025-11-01,328430.9999999998,310585.52010717517
2025-12-01,392086.99999999965,365573.0218067979
2026-01-01,319106.0000000001,300664.07527322107
2026-02-01,254047.99999999997,236844.11361811563
2026-03-01,311226.0000000002,291160.36570034793
2026-04-01,278198.99999999994,260951.04561236833
2026-05-01,260665.99999999977,241312.29525905842
2026-06-01,259391.00000000003,245687.58097717003
