fecha,América Del Centro,América Del Norte,Europa
2013-06-01,132740.34480074816,49276.65005487481,6918.0
2013-07-01,137555.7589169652,54852.25834770249,10078.0
2013-08-01,141829.5591873795,37092.379982278406,9376.0
2013-09-01,124275.23640795665,24513.825463389963,6461.0
2013-10-01,120207.06656201315,30397.4023209579,8507.0
2013-11-01,145363.06099637237,34869.96200824615,12817.0
2013-12-01,192030.9442146995,51340.45772465891,10265.0
2014-01-01,155004.11886466408,41127.227811726334,12665.0
2014-02-01,113013.19120402806,37720.0546607188,13163.0
2014-03-01,128988.10570149668,48389.224521172524,13155.0
2014-04-01,165710.43832628604,43212.69482263157,10732.0
2014-05-01,135521.2386593173,36616.32609329061,8130.0
2014-06-01,134941.00196309466,49299.47133819226,6933.0
2014-07-01,162582.84589978974,53891.748906113266,10928.0
2014-08-01,164237.67883810677,39134.95312940939,11304.0
2014-09-01,144345.0918924419,26058.688701117357,7332.0
2014-10-01,170965.76141273646,32218.109482390017,9954.0
2014-11-01,187794.5418497074,36831.06813600278,12941.0
2014-12-01,249672.1901061336,53132.544543470445,12146.0
2015-01-01,177363.789305937,41163.161903264365,13347.0
2015-02-01,132327.29557642978,40762.951968060894,13323.0
2015-03-01,172026.6485562247,52359.75948309433,13703.0
2015-04-01,184946.43581212885,40574.072309488976,10582.0
2015-05-01,169508.94081668655,38338.66690576121,7884.0
2015-06-01,173969.44256763888,53259.244349369605,7389.0
2015-07-01,176548.67229525387,55031.504836900924,10932.0
2015-08-01,182715.76114240257,40773.39426934888,11590.0
2015-09-01,159367.91214107058,28826.858661593367,7652.0
2015-10-01,172803.78183515833,35099.496988287094,9191.0
2015-11-01,180825.69110129538,40229.31899892471,12986.0
2015-12-01,250276.65700783863,56265.581523951,11856.0
2016-01-01,192937.115527317,42564.51382478961,13150.0
2016-02-01,147150.87814481193,41660.85164608057,13890.0
2016-03-01,238870.44667783802,56246.885982669715,14293.0
2016-04-01,157651.36618051215,34139.55416962172,9405.0
2016-05-01,169370.96893511314,36422.958814738806,7526.0
2016-06-01,159050.22385501658,50353.07142697131,6683.0
2016-07-01,188728.40315524102,57301.836403293935,11278.0
2016-08-01,200565.55700648308,37053.37071704102,10319.0
2016-09-01,143338.3982360568,25812.897222970292,7501.768294305017
2016-10-01,194543.07647134515,33765.187990926475,9028.0
2016-11-01,191532.65548609028,35331.32504180851,12814.0
2016-12-01,262265.6604966652,40939.52816903266,9499.0
2017-01-01,197417.31572475474,35958.0594554757,13566.181203015478
2017-02-01,166979.10573019806,40764.34532734305,14561.081627321388
2017-03-01,219075.70534685743,48536.34855180859,15015.58866638628
2017-04-01,309634.008422462,44296.686508325016,11567.855572090974
2017-05-01,189615.35754693896,34824.89388502458,8172.053579174342
2017-06-01,177782.05194330736,52114.105624126765,7149.947400000001
2017-07-01,202947.73817983808,62265.321436585386,13228.9684
2017-08-01,210649.62302464846,40281.477990801424,12124.683999999994
2017-09-01,166138.01439936445,28514.537579931428,8198.3282
2017-10-01,180227.87774458498,37063.30387534907,10459.014500000003
2017-11-01,209690.9267201701,40241.03651914181,13871.606100000014
2017-12-01,277928.6630660552,56120.835855469835,11078.999999999995
2018-01-01,229847.23340657077,45420.92776769754,14512.3104
2018-02-01,185100.07677973848,41350.9147907607,14219.000000000005
2018-03-01,308231.15638934495,58272.6265710873,13939.000000000007
2018-04-01,244258.98755994975,41174.77879382227,11243.095
2018-05-01,216959.07423047256,40062.185485086746,8852.0
2018-06-01,234902.6045682296,58332.449940271144,7649.000000017012
2018-07-01,248852.39995325293,63754.189994301414,13359.000000000005
2018-08-01,280768.6206049612,46511.95113503041,14017.00000000001
2018-09-01,222892.34701733154,31230.721450206787,7702.999999999996
2018-10-01,218947.531641446,40830.30135561978,10687.371700216832
2018-11-01,234351.36219900285,47376.27446204648,15213.999999999995
2018-12-01,301254.13414134795,65049.604659914854,14125.35798443276
2019-01-01,281061.70492855995,47828.00000000001,14724.708446837318
2019-02-01,215845.97483533187,45015.99999999999,13868.24474340032
2019-03-01,278723.46848,55370.0,13904.083808471225
2019-04-01,316516.9999999992,48777.99999999985,11110.610124178693
2019-05-01,235948.99999999924,43339.00000000024,8259.68955145634
2019-06-01,253202.99999999886,61958.00000000015,7212.748080928468
2019-07-01,274104.24383442267,66272.0,12848.090689428765
2019-08-01,293027.99999999977,48254.00000000019,12647.026976547048
2019-09-01,247174.99999999942,32571.000000000084,7419.009860079071
2019-10-01,232198.9999999987,41435.0,9658.169718389043
2019-11-01,260704.00000000247,47094.99999999975,15912.171799593107
2019-12-01,359173.0000000001,64640.999999999935,13673.411952743774
2020-01-01,307939.5517241379,51644.0,15121.596391368887
2020-02-01,239370.0,51210.0,16224.10861737468
2020-03-01,121339.25,23675.0,5748.307240338709
2020-04-01,10039.0,0.0,0.0
2020-05-01,9779.0,0.0,0.0
2020-06-01,11817.0,0.0,0.0
2020-07-01,13484.0,0.0,0.0
2020-08-01,15357.0,0.0,0.0
2020-09-01,11220.49268292683,1144.0,22.0
2020-10-01,14208.773559687135,1831.278443106,202.14656290102596
2020-11-01,36164.0,12742.0,1461.0
2020-12-01,39679.0,13549.0,1008.0
2021-01-01,71529.0,13870.0,2128.0
2021-02-01,42917.0,7313.0,946.0
2021-03-01,53656.37897633462,25250.0,2511.1132655151227
2021-04-01,37903.0,17564.0,1957.1727574750762
2021-05-01,49645.0,19349.0,2150.0
2021-06-01,60745.0,28504.0,2099.0
2021-07-01,64960.0,26905.0,2456.0
2021-08-01,51192.0,15939.0,2367.0
2021-09-01,48794.0,13003.0,1816.0
2021-10-01,59170.0,16873.0,3245.0
2021-11-01,64724.0,22724.0,5746.0
2021-12-01,149703.0,57595.0,8958.21739130434
2022-01-01,86499.0,31451.0,8829.0
2022-02-01,146716.6,31340.0,9011.0
2022-03-01,163872.0,44999.0,10288.0
2022-04-01,223294.0,48861.0,11837.0
2022-05-01,198203.0,45596.0,7827.0
2022-06-01,198702.0,56586.0,5841.0
2022-07-01,231554.0,54309.0,10376.0
2022-08-01,232241.0,42553.0,11412.0
2022-09-01,195304.0,33194.0,6998.0
2022-10-01,218504.0,40404.0,9073.0
2022-11-01,244172.0,41749.0,20420.0
2022-12-01,310516.0,62274.0,12829.0
2023-01-01,178469.32493866165,52108.60115686782,13967.67045045045
2023-02-01,119271.23096515842,51865.9519356297,15507.741078651703
2023-03-01,153935.42964046483,66572.55963862414,17234.144163381854
2023-04-01,198941.59208471162,55382.23160902609,14254.783529445063
2023-05-01,138774.22764908767,51272.85906832217,9737.398565443464
2023-06-01,135248.71404810695,68588.03777387677,7405.357142857143
2023-07-01,166137.9578242136,70692.99262371616,9324.0
2023-08-01,182500.9684217889,55583.138067283595,12202.287448233263
2023-09-01,154869.7513074363,41730.119457500514,6954.275298758103
2023-10-01,109570.68390564105,35869.926806526804,8852.71942020386
2023-11-01,167001.90696512978,54451.45000323226,16684.333029931116
2023-12-01,221296.68974899902,79127.06209514003,13745.922191545675
2024-01-01,197656.39235007428,63914.014986960305,15782.69696969697
2024-02-01,160647.301921617,69065.90921193836,19031.18935235288
2024-03-01,206697.74679208134,81207.71720844385,17712.824049383435
2024-04-01,152614.55714114258,60460.321312080916,13101.103428950486
2024-05-01,152267.11845642317,61292.18036441695,9831.822660929254
2024-06-01,130714.24281410879,82320.16713048855,7704.626441205853
2024-07-01,157324.79808869044,82205.10073409877,13120.95633530143
