fecha,América Del Centro,América Del Norte,Europa
2013-07-01,141072.02000099997,55103.60178403756,10115.0
2013-08-01,144286.14000000013,37273.48,9395.0
2013-09-01,127622.63000280001,24741.62,6472.0
2013-10-01,123763.75999999995,30544.22,8508.0
2013-11-01,149014.41999999993,35004.0,12819.0
2013-12-01,197084.38999999996,51466.94,10278.0
2014-01-01,157315.53999999992,41190.0,12665.0
2014-02-01,115015.75,37782.0,13163.0
2014-03-01,132298.77000000005,48513.964338781574,13156.0
2014-04-01,167932.90000000002,43346.99999999999,10750.0
2014-05-01,138986.52000000008,36761.0,8132.0
2014-06-01,137140.34999985993,49415.0,6936.0
2014-07-01,164239.68999999997,53999.0,10932.0
2014-08-01,166596.76999999996,39297.0,11314.0
2014-09-01,147244.11,26248.0,7342.0
2014-10-01,173675.01000000004,32329.0,10110.0
2014-11-01,189921.28999999957,37089.0,12942.0
2014-12-01,252062.3,53249.0,12176.0
2015-01-01,180292.000001625,41355.99999999999,13365.0
2015-02-01,135308.99999823092,40917.500000006,13353.0
2015-03-01,175596.9999973922,52562.28445007421,13729.0
2015-04-01,187976.99999999357,40980.49999999501,10615.0
2015-05-01,173253.0000016771,38449.29823269514,7902.0
2015-06-01,179230.99999916094,53617.000000001,7506.0
2015-07-01,179191.99999890427,55354.00000000199,10992.0
2015-08-01,190549.00000028676,40992.499999996,11617.0
2015-09-01,161427.99999934327,29004.500000001,7656.0
2015-10-01,177012.9999968559,35411.000000006,9264.0
2015-11-01,182414.00000222397,40451.499999992,13036.0
2015-12-01,252869.00000363804,56449.50000006599,11906.0
2016-01-01,200165.99999999985,44319.0,13490.0
2016-02-01,155100.99999999988,42271.00000000001,14424.0
2016-03-01,249524.00000000003,57334.0,14440.0
2016-04-01,179478.00000000006,36741.0,10223.0
2016-05-01,190490.0,38261.0,8356.0
2016-06-01,196078.00000000017,53314.65625,7186.0
2016-07-01,222092.0000000008,61022.75939849624,12095.0
2016-08-01,234807.99999999974,39721.0,11714.0
2016-09-01,167544.43980915443,28946.585552831235,7775.514561372244
2016-10-01,241353.99999999997,34900.0,9211.0
2016-11-01,249211.0,36264.0,13120.0
2016-12-01,316497.99999999994,44917.02185792349,10490.0
2017-01-01,242161.38710881225,39195.50670261119,14248.635364732378
2017-02-01,194504.76982405924,42529.46218848276,15380.45135470809
2017-03-01,249608.51298015416,50875.63714502272,15708.910951669177
2017-04-01,309640.21063543524,44296.686508325016,11567.855572090974
2017-05-01,218342.0329151608,36282.41596383848,8655.88711535825
2017-06-01,225798.74169999998,53698.309499999996,7506.877
2017-07-01,261593.71889999983,67410.1762,14278.2023
2017-08-01,332782.4825000009,42548.7789,13107.543099999994
2017-09-01,185283.06249999994,33377.907199999994,9977.906500000001
2017-10-01,199012.665521702,40340.13270000002,10975.303700000004
2017-11-01,232078.04938000068,42153.70020000001,14565.343700000012
2017-12-01,296424.6446000003,58531.851500000026,12084.999999999995
2018-01-01,249466.06043200032,48371.225399999996,15250.8601
2018-02-01,200878.42668800018,43650.0,14722.000000000005
2018-03-01,329001.99999999884,60940.99999999999,14475.000000000007
2018-04-01,297595.9366350002,44653.724799999996,16803.9988
2018-05-01,231992.7870999992,41647.1468,9188.0
2018-06-01,263046.5497929962,60247.00000001205,7948.00000001706
2018-07-01,267270.84170000005,66560.0,13823.000000000005
2018-08-01,302976.0000000011,49029.773599999724,14564.00000000001
2018-09-01,234432.67873958786,32359.412991918132,7909.999999999996
2018-10-01,232991.747689236,43347.80360069978,11338.575700176456
2018-11-01,250683.6706779118,49315.87470039622,16124.999999999996
2018-12-01,331409.6210056427,69215.6254605011,15374.541998244822
2019-01-01,302360.70492855995,52538.00000000001,15717.495683387859
2019-02-01,236510.97483533187,46200.99999999999,14719.727563234901
2019-03-01,294528.46848,57462.0,14301.977169157532
2019-04-01,343802.9999999992,52733.99999999985,11712.407142857122
2019-05-01,255273.99999999924,44900.00000000024,8600.406249999996
2019-06-01,279454.99999999884,62868.00000000015,7460.000000000015
2019-07-01,329009.24383442267,67783.0,13609.207300498321
2019-08-01,360806.99999999977,49300.00000000019,13252.393939393945
2019-09-01,272998.9999999994,33199.00000000008,7548.623589743597
2019-10-01,252771.9999999987,41977.0,10032.999999999985
